Age,Gender,Region / State,Purchase Count,Total Spend,Average Order Value,Average Items Per Order,Last Purchase Days,Tenure Days,Preferred Category,Category Diversity,Preferred Channel,Session Count,Engagement Score,Campaign Engagement Score,Email Click Rate,Campaign Conversion Rate,Loyalty Score,Value Score,Purchase Frequency,Target
38.0,Female,South,3,7314.65,2533.47,1.47,7,588,Beauty,2,WhatsApp,5,63.31,64.88,0.311,0.091,52.49,26.83,0.1531,0
27.0,Female,North,6,29215.87,4992.13,1.0,13,615,Fashion,3,Push,19,76.99,73.35,0.244,0.135,56.89,35.44,0.2927,0
49.0,Male,North,4,7848.72,2147.66,4.91,52,136,Grocery,2,Email,6,41.02,45.05,0.161,0.024,46.3,18.07,0.8824,0
44.0,Male,West,2,1217.99,619.53,3.58,13,245,Electronics,2,Email,5,48.78,42.1,0.211,0.053,46.17,11.92,0.2449,0
45.0,Male,North,2,1607.86,862.32,2.49,33,334,Toys,2,Push,3,30.89,35.98,0.083,0.008,40.4,11.52,0.1796,0
27.0,Male,East,0,0.0,0.0,0.0,753,753,,0,SMS,0,24.54,27.82,0.042,0.008,18.88,13.38,0.0,0
32.0,Female,South,18,114201.48,6446.88,2.53,21,309,Beauty,4,Push,9,69.81,73.87,0.138,0.041,63.76,42.84,1.7476,1
50.0,Female,South,5,7221.23,1515.03,2.58,42,734,Grocery,2,Email,2,6.66,22.3,0.019,0.002,39.32,27.65,0.2044,0
34.0,Female,West,6,23717.75,3809.03,6.92,83,326,Toys,3,Email,5,46.59,36.55,0.061,0.023,42.97,31.51,0.5521,0
32.0,Male,West,2,2476.29,1291.65,1.69,56,334,Home,1,Call,2,27.86,32.92,0.037,0.008,40.41,17.77,0.1796,0
28.0,Other,North,4,9419.63,2465.11,2.24,16,378,Books,2,WhatsApp,7,62.94,52.39,0.156,0.045,50.78,20.54,0.3175,0
35.0,Female,East,5,7354.98,1568.93,2.41,24,81,Electronics,2,Email,6,49.1,58.3,0.051,0.014,46.72,27.16,1.8519,0
51.0,Male,East,0,0.0,0.0,0.0,1158,1158,,0,Push,4,35.88,32.24,0.088,0.008,11.89,15.05,0.0,0
63.0,Male,North,8,10240.52,1235.24,1.22,7,114,Electronics,3,Push,13,78.46,67.39,0.249,0.062,59.76,17.71,2.1053,0
33.0,Female,North,2,1461.87,702.68,2.3,3,346,Grocery,2,Email,17,88.48,75.86,0.291,0.091,56.55,13.58,0.1734,0
58.0,Male,West,2,3765.61,1790.3,1.62,28,542,Fashion,2,Email,8,59.37,56.26,0.146,0.041,48.72,15.82,0.1107,0
49.0,Female,West,2,3008.74,1505.81,2.21,23,548,Home,2,SMS,5,55.93,57.26,0.116,0.032,47.03,20.67,0.1095,0
38.0,Male,North,2,2606.37,1252.27,3.35,32,813,Fashion,1,Push,1,40.17,34.75,0.046,0.01,42.04,12.37,0.0738,0
53.0,Female,North,0,0.0,0.0,0.0,390,390,,0,WhatsApp,2,55.31,57.0,0.065,0.02,35.13,22.84,0.0,0
45.0,Female,North,2,3656.27,1991.33,3.09,65,63,Home,2,WhatsApp,1,23.09,30.59,0.018,0.005,36.83,23.04,0.9524,0
36.0,Male,South,4,5733.06,1441.53,1.82,5,805,Electronics,2,WhatsApp,4,76.25,56.24,0.154,0.029,54.78,18.55,0.1491,0
18.0,Female,East,0,0.0,0.0,0.0,1200,1556,,0,WhatsApp,6,52.75,44.38,0.129,0.025,14.01,12.17,0.0,0
60.0,Male,Central,4,4406.2,1159.42,2.22,72,835,Home,2,Email,3,34.76,39.87,0.022,0.007,41.28,21.31,0.1437,0
18.0,Male,North,1,3301.95,3205.24,4.24,29,478,Grocery,1,Email,1,45.76,38.08,0.05,0.007,42.59,15.25,0.0628,0
55.0,Female,North,4,5267.8,1267.15,6.8,10,925,Grocery,2,Call,13,68.87,45.17,0.223,0.054,52.88,20.78,0.1297,0
44.0,,Central,5,6625.35,1298.61,4.46,32,677,Books,2,Push,5,44.66,40.05,0.112,0.046,46.08,30.39,0.2216,0
59.0,Male,West,0,0.0,0.0,0.0,659,659,,0,Email,3,22.23,34.95,0.063,0.006,22.92,8.89,0.0,0
40.0,Female,East,3,27201.45,9404.62,1.21,47,688,Grocery,1,WhatsApp,1,15.74,27.14,0.002,0.0,34.42,37.52,0.1308,0
38.0,Male,Central,0,0.0,0.0,0.0,280,280,,0,WhatsApp,5,52.28,45.21,0.121,0.035,37.43,19.28,0.0,0
38.0,Male,East,10,15336.5,1392.71,4.06,2,115,Sports,3,Push,6,53.14,61.46,0.142,0.021,55.31,24.97,2.6087,0
34.0,Male,South,2,1848.65,923.44,2.0,34,376,Grocery,2,WhatsApp,4,34.13,36.88,0.068,0.016,42.08,12.92,0.1596,0
46.0,,North,7,38427.91,5303.44,1.0,45,353,Books,2,WhatsApp,2,27.73,33.98,0.042,0.007,43.52,32.6,0.5949,0
23.0,Female,North,6,9528.45,1486.78,5.53,108,2417,Home,2,Push,1,27.37,28.75,0.028,0.006,39.2,19.31,0.0745,0
18.0,Female,South,1,1327.11,1377.76,4.2,56,465,Fashion,1,WhatsApp,2,41.79,45.93,0.079,0.016,41.59,16.19,0.0645,0
36.0,Other,North,0,0.0,0.0,0.0,258,258,,0,Email,2,24.11,29.72,0.029,0.002,30.98,14.4,0.0,0
62.0,Female,West,6,7290.95,1191.36,1.96,70,1103,Fashion,2,WhatsApp,5,17.12,27.77,0.065,0.013,40.18,17.76,0.1632,0
68.0,Male,South,4,5097.93,1283.39,2.74,23,642,Books,2,Email,2,34.16,42.06,0.049,0.005,43.94,24.42,0.1869,0
51.0,Male,West,8,11887.56,1531.51,3.17,11,426,Electronics,2,Push,25,86.49,70.37,0.345,0.108,61.83,22.43,0.5634,0
50.0,Male,Central,4,10860.85,2693.45,2.09,1,224,Home,2,Email,25,94.81,96.91,0.533,0.193,60.37,20.24,0.5357,0
37.0,Male,West,5,11204.88,2163.54,2.33,6,150,Toys,3,Email,16,78.94,70.97,0.342,0.078,56.58,13.83,1.0,0
47.0,Female,North,4,3556.06,900.05,2.78,10,1407,Electronics,2,Email,8,62.56,63.1,0.237,0.043,52.47,12.88,0.0853,0
38.0,Female,South,1,1435.75,1372.89,1.71,139,581,Home,1,Email,1,14.93,13.23,0.001,0.0,31.08,15.56,0.0516,0
47.0,Male,East,8,26079.55,3388.39,4.61,3,739,Grocery,4,SMS,37,84.99,84.17,0.576,0.095,64.06,26.07,0.3248,0
,Male,North,5,9881.14,2030.24,2.14,23,471,Fashion,2,Email,7,61.75,52.57,0.185,0.082,51.13,26.97,0.3185,0
52.0,Male,East,3,4733.64,1601.94,4.14,81,777,Sports,2,WhatsApp,1,30.17,48.76,0.024,0.004,37.76,27.85,0.1158,0
37.0,Male,East,11,32418.26,3026.14,2.19,7,255,Grocery,3,SMS,45,96.45,88.44,0.724,0.134,66.24,21.9,1.2941,0
29.0,Female,Central,5,8771.8,1651.11,4.37,15,663,Grocery,2,Push,2,44.53,46.88,0.169,0.03,47.69,24.31,0.2262,0
85.0,Female,Central,4,9470.12,2219.51,2.33,4,848,Books,3,SMS,11,72.57,62.22,0.188,0.035,53.86,18.88,0.1415,0
35.0,Female,North,2,1953.82,1040.38,2.05,41,723,Home,2,Push,2,40.71,35.35,0.074,0.009,43.17,6.08,0.083,0
47.0,Female,North,1,1574.75,1566.62,3.05,14,730,Fashion,1,Push,8,51.53,66.33,0.13,0.023,49.58,17.94,0.0411,0
18.0,Female,South,3,5947.74,2029.44,1.14,16,518,Beauty,2,Email,4,68.35,67.84,0.315,0.101,51.84,16.64,0.1737,0
47.0,Female,East,2,2248.32,1156.94,2.75,7,672,Beauty,2,WhatsApp,9,72.47,65.51,0.379,0.097,52.44,10.59,0.0893,0
42.0,Female,North,2,1531.88,807.64,2.46,15,1102,Fashion,2,Call,11,73.09,69.87,0.272,0.076,54.65,14.56,0.0544,0
20.0,,Central,1,1970.28,1960.15,1.48,33,1849,Books,1,SMS,5,59.77,59.23,0.093,0.016,46.12,21.47,0.0162,0
38.0,Male,East,0,0.0,0.0,0.0,202,202,,0,WhatsApp,4,56.6,38.6,0.134,0.027,41.54,9.74,0.0,0
51.0,Female,Central,3,2604.0,884.23,3.6,19,770,Grocery,2,Email,3,49.11,55.89,0.097,0.018,46.45,13.33,0.1169,0
38.0,Male,North,2,7064.58,3603.67,1.63,66,402,Electronics,2,WhatsApp,0,25.87,43.23,0.027,0.005,37.69,33.4,0.1493,0
48.0,Male,West,0,0.0,0.0,0.0,386,386,,0,Push,3,27.51,23.53,0.07,0.006,29.01,6.7,0.0,0
52.0,Male,East,4,4215.2,1145.15,2.45,38,410,Beauty,2,Push,2,34.6,46.52,0.062,0.015,44.8,18.42,0.2927,0
55.0,Male,Central,0,0.0,0.0,0.0,1200,1275,,0,WhatsApp,9,74.98,65.92,0.194,0.053,23.38,9.5,0.0,0
46.0,Female,North,4,2241.37,607.04,1.0,9,970,Home,2,Push,4,60.1,54.83,0.228,0.029,51.29,12.95,0.1237,0
20.0,Female,West,2,1944.19,1005.55,1.89,72,912,Grocery,2,Push,4,47.22,45.99,0.117,0.023,44.03,18.14,0.0658,0
29.0,Female,East,0,0.0,0.0,0.0,110,110,,0,WhatsApp,3,38.2,42.05,0.101,0.018,40.31,10.86,0.0,0
43.0,Male,South,4,7925.13,1985.58,1.0,39,73,Fashion,2,Email,0,24.07,31.97,0.04,0.01,39.19,26.06,1.6438,0
53.0,Male,Central,6,14330.62,2492.7,4.34,86,206,Home,2,Push,1,24.17,38.84,0.032,0.012,41.08,32.62,0.8738,0
27.0,Female,East,4,12820.29,2927.75,2.43,28,229,Fashion,2,SMS,3,57.75,62.63,0.193,0.062,48.5,28.71,0.524,0
25.0,Female,East,11,42950.74,3919.62,8.56,17,936,Books,2,Push,6,44.73,50.89,0.156,0.036,52.96,31.97,0.3526,0
51.0,Male,North,2,1939.58,1065.48,3.73,9,291,Fashion,2,Push,14,65.83,62.83,0.138,0.024,51.87,8.16,0.2062,0
35.0,Male,West,1,835.08,870.38,2.12,32,708,Grocery,1,WhatsApp,3,46.45,47.71,0.08,0.015,43.36,17.63,0.0424,0
32.0,Male,West,8,28774.94,3678.17,2.06,17,321,Grocery,2,Push,6,71.9,61.42,0.374,0.096,54.78,26.29,0.7477,0
40.0,Male,West,9,10777.68,1220.12,3.7,121,414,Toys,2,WhatsApp,1,22.47,18.38,0.025,0.005,39.12,28.84,0.6522,0
52.0,Male,East,2,3544.86,1937.97,1.52,40,1571,Home,2,Call,3,22.55,47.48,0.046,0.01,38.9,34.3,0.0382,0
54.0,Male,North,3,6210.59,2213.5,5.06,9,348,Fashion,2,SMS,5,60.73,66.51,0.242,0.076,49.03,30.14,0.2586,0
29.0,Male,Central,1,2150.12,2103.28,3.15,7,924,Fashion,1,WhatsApp,4,38.51,54.89,0.088,0.025,45.73,28.54,0.0325,0
,Female,North,22,186786.92,9003.24,6.49,21,670,Home,5,WhatsApp,7,66.75,82.18,0.431,0.135,66.4,48.36,0.9851,1
25.0,Male,East,8,13928.21,1763.33,3.2,7,895,Toys,2,Push,10,79.37,77.51,0.348,0.12,58.81,21.79,0.2682,0
51.0,Male,North,4,4724.63,1240.97,5.14,9,118,Fashion,3,WhatsApp,8,83.0,62.76,0.353,0.093,55.99,17.41,1.0169,0
59.0,Female,East,4,5605.91,1530.2,1.32,4,525,Home,2,WhatsApp,13,82.59,86.29,0.322,0.064,57.85,22.1,0.2286,0
47.0,Female,South,7,11392.12,1641.35,1.4,6,1171,Grocery,2,SMS,27,86.32,67.34,0.39,0.129,60.98,12.11,0.1793,0
57.0,Male,North,3,6362.01,2001.95,3.33,59,672,Beauty,2,SMS,4,49.19,51.72,0.063,0.019,43.17,21.05,0.1339,0
38.0,Female,Central,0,0.0,0.0,0.0,292,292,,0,Email,32,95.2,82.8,0.591,0.104,49.98,6.04,0.0,0
52.0,Male,North,3,4410.35,1436.01,2.43,1,223,Fashion,3,WhatsApp,45,100.0,89.22,0.518,0.136,60.68,15.09,0.4036,0
28.0,Female,South,5,4900.76,959.0,3.81,79,1247,Electronics,2,Email,4,19.82,19.86,0.012,0.003,38.23,19.14,0.1203,0
49.0,Male,Central,4,13614.08,3421.98,1.95,26,1265,Grocery,2,WhatsApp,3,28.05,26.13,0.056,0.009,43.1,29.65,0.0949,0
53.0,Male,West,13,19276.67,1497.05,6.09,19,472,Home,3,Email,9,48.72,55.5,0.121,0.03,57.03,31.23,0.8263,0
56.0,Female,East,1,1060.73,1104.27,2.75,32,574,Fashion,1,Email,7,55.59,51.55,0.183,0.021,46.71,11.11,0.0523,0
56.0,Female,Central,8,34327.18,4564.39,5.22,53,503,Grocery,2,Email,3,17.46,36.03,0.019,0.006,39.42,37.57,0.4771,0
35.0,Male,West,3,10166.14,3457.71,2.37,19,405,Grocery,2,SMS,4,34.68,38.11,0.058,0.012,40.18,22.08,0.2222,0
61.0,Male,South,3,7033.95,2449.27,1.58,19,465,Sports,2,Push,7,62.8,56.55,0.174,0.025,48.43,22.8,0.1935,0
55.0,Male,North,0,0.0,0.0,0.0,1025,1025,,0,Call,5,43.66,46.52,0.097,0.008,17.75,6.62,0.0,0
26.0,Male,South,4,4793.43,1288.9,3.66,12,659,Beauty,3,Push,9,67.92,72.13,0.145,0.034,52.26,14.27,0.1821,0
47.0,Male,South,5,25838.03,5357.18,2.92,6,959,Beauty,3,Push,25,86.95,79.6,0.542,0.17,59.93,31.16,0.1564,0
65.0,Female,East,4,6523.64,1712.34,1.48,108,1395,Sports,2,WhatsApp,0,16.24,15.32,0.011,0.003,37.05,22.08,0.086,0
61.0,Male,Central,9,14057.85,1589.94,3.57,1,394,Beauty,5,Push,30,90.04,86.09,0.628,0.296,64.09,21.91,0.6853,0
30.0,Male,South,6,12143.33,1886.71,1.06,2,306,Sports,4,Push,31,88.95,88.06,0.489,0.224,60.54,22.98,0.5882,0
34.0,Male,South,0,0.0,0.0,0.0,1092,1092,,0,Email,1,12.48,2.51,0.008,0.0,7.24,7.64,0.0,0
46.0,Male,Central,1,1167.17,1239.17,2.87,86,946,Grocery,1,Email,2,25.29,40.81,0.023,0.003,35.61,19.1,0.0317,0
22.0,Male,North,3,9170.22,2944.37,3.74,7,274,Beauty,2,SMS,2,40.23,42.42,0.097,0.03,44.13,32.68,0.3285,0
,Female,South,4,7116.83,1835.1,2.49,39,333,Sports,2,Push,1,36.47,41.75,0.02,0.005,40.41,30.33,0.3604,0
37.0,Female,South,4,6389.24,1458.61,2.94,13,781,Books,3,WhatsApp,8,62.95,63.29,0.201,0.075,51.96,19.13,0.1536,0
61.0,Male,North,7,39821.28,5412.6,2.12,11,411,Electronics,3,WhatsApp,6,68.0,63.71,0.129,0.026,54.64,35.43,0.5109,0
36.0,Male,West,1,655.22,618.86,3.46,13,469,Electronics,1,SMS,4,60.48,54.43,0.135,0.022,46.51,8.88,0.064,0
42.0,Female,North,2,861.81,472.0,2.04,14,977,Electronics,2,WhatsApp,5,63.07,55.65,0.206,0.045,48.96,11.03,0.0614,0
53.0,Other,North,8,23247.29,2782.32,4.35,15,1136,Electronics,3,Email,6,49.36,67.46,0.118,0.061,49.68,36.0,0.2113,0
47.0,Female,West,3,7771.66,2432.71,2.47,7,1499,Home,2,WhatsApp,7,59.84,65.51,0.157,0.044,50.05,26.08,0.06,0
50.0,Male,West,6,9330.05,1460.78,1.91,6,363,Grocery,4,SMS,24,90.0,79.72,0.427,0.146,60.54,17.68,0.4959,0
49.0,Male,South,0,0.0,0.0,0.0,1200,1374,,0,SMS,0,8.89,16.32,0.008,0.001,2.53,19.45,0.0,0
22.0,Female,East,2,2330.64,1173.77,5.22,29,192,Grocery,2,Email,2,50.1,57.97,0.094,0.016,45.94,12.48,0.3125,0
20.0,Male,South,4,2660.9,715.8,1.59,4,419,Beauty,2,WhatsApp,7,64.33,62.78,0.195,0.072,51.37,22.91,0.2864,0
18.0,Male,Central,2,3169.96,1639.72,1.0,31,550,Fashion,2,WhatsApp,3,51.27,52.92,0.108,0.033,45.02,22.15,0.1091,0
67.0,Male,South,6,11846.14,1875.81,3.79,17,263,Toys,2,Email,8,56.12,69.82,0.193,0.038,51.46,20.9,0.6844,0
51.0,,Central,1,1781.72,1813.06,1.0,9,235,Home,1,Push,8,74.03,59.57,0.228,0.036,53.6,9.65,0.1277,0
36.0,Male,West,1,2263.73,2220.19,1.28,20,1030,Grocery,1,Email,1,42.48,33.93,0.085,0.022,41.49,22.77,0.0291,0
44.0,Female,North,4,7538.82,1859.8,2.66,3,969,Toys,2,Email,30,85.06,79.12,0.301,0.119,60.0,15.27,0.1238,0
46.0,Male,West,1,683.49,650.42,1.0,83,1046,Fashion,1,SMS,1,17.05,16.83,0.011,0.001,34.24,10.91,0.0287,0
64.0,Male,East,10,29408.17,2724.23,3.32,7,140,Home,2,WhatsApp,9,58.14,64.86,0.159,0.049,56.91,32.95,2.1429,0
40.0,Male,North,4,15170.94,3608.97,5.8,19,525,Beauty,2,SMS,2,43.98,64.99,0.131,0.053,47.47,36.8,0.2286,0
21.0,Male,West,7,40114.0,5535.87,5.2,17,758,Home,3,Email,5,70.05,70.84,0.122,0.026,51.82,37.36,0.277,0
46.0,Female,West,2,6539.05,3319.53,1.51,20,457,Grocery,2,Call,11,65.27,64.07,0.319,0.079,51.48,26.67,0.1313,0
39.0,Male,East,1,1543.57,1618.98,1.7,24,121,Fashion,1,SMS,0,35.73,47.35,0.054,0.014,40.69,17.45,0.2479,0
61.0,Female,South,9,9903.22,1111.08,3.16,19,440,Electronics,2,Call,10,78.94,70.48,0.342,0.134,58.86,19.88,0.6136,0
28.0,Female,North,3,5276.88,1789.55,1.97,3,952,Toys,2,Push,22,84.12,82.68,0.266,0.071,58.56,24.31,0.0945,0
21.0,Male,West,1,1976.69,1909.82,3.86,10,219,Home,1,Email,6,43.77,44.46,0.079,0.011,43.37,15.98,0.137,0
57.0,Female,South,6,13820.94,2354.13,6.26,13,873,Fashion,2,Push,1,32.44,49.85,0.055,0.021,45.43,32.38,0.2062,0
34.0,Male,West,1,936.87,917.92,3.39,5,980,Beauty,1,Email,11,89.84,67.51,0.197,0.029,54.05,4.68,0.0306,0
47.0,Other,South,1,1820.25,1850.71,2.82,7,348,Electronics,1,Push,9,78.98,64.06,0.204,0.044,52.43,17.17,0.0862,0
40.0,Male,West,1,1415.72,1432.58,1.91,35,196,Home,1,Email,1,19.53,14.06,0.019,0.003,35.09,27.69,0.1531,0
48.0,Female,West,4,5600.2,1417.91,1.25,19,1133,Fashion,2,WhatsApp,7,54.44,53.58,0.318,0.032,51.61,12.35,0.1059,0
54.0,Male,Central,3,1878.65,665.52,1.84,17,558,Beauty,2,Push,10,59.96,66.27,0.207,0.048,52.4,17.72,0.1613,0
51.0,Male,Central,7,20921.85,2717.79,2.84,20,527,Sports,2,Push,4,45.2,59.17,0.088,0.018,49.4,27.01,0.3985,0
18.0,Female,East,7,26984.14,3664.78,2.73,6,783,Electronics,3,Email,10,75.78,70.33,0.557,0.276,59.69,34.41,0.2682,0
26.0,Male,South,0,0.0,0.0,0.0,570,570,,0,Email,3,16.48,17.22,0.02,0.001,20.79,8.61,0.0,0
58.0,Female,East,1,651.76,622.82,2.89,70,242,Sports,1,Push,0,13.06,3.31,0.013,0.001,32.16,8.16,0.124,0
49.0,Female,West,3,4296.54,1428.3,1.49,9,241,Grocery,3,SMS,10,68.47,73.97,0.167,0.022,54.37,11.44,0.3734,0
33.0,Female,North,1,603.53,605.23,1.49,32,452,Electronics,1,Call,2,25.33,31.92,0.03,0.002,39.2,7.11,0.0664,0
38.0,Other,West,2,1398.44,707.48,2.72,72,34,Fashion,2,Push,7,49.95,36.13,0.159,0.016,44.47,7.58,1.7647,0
29.0,Female,Central,1,958.08,981.07,6.78,64,375,Home,1,Call,3,31.29,29.57,0.036,0.006,36.49,11.03,0.08,0
49.0,Female,Central,10,27872.42,2636.24,3.33,13,180,Home,4,Push,6,71.05,70.92,0.298,0.085,58.28,32.63,1.6667,0
36.0,Female,South,2,3559.56,1718.68,3.86,32,437,Home,2,Call,10,55.19,50.72,0.12,0.039,48.27,17.11,0.1373,0
29.0,Female,South,2,2765.77,1348.49,1.32,22,92,Sports,1,Email,3,45.67,47.77,0.163,0.037,44.99,20.48,0.6522,0
32.0,Female,East,3,4882.05,1678.17,2.35,19,420,Home,2,WhatsApp,0,23.75,19.92,0.021,0.002,38.57,11.4,0.2143,0
36.0,Female,South,2,3938.89,1914.26,1.61,47,932,Books,2,Email,6,40.27,47.93,0.093,0.019,44.16,26.36,0.0644,0
29.0,Male,North,5,37562.54,7503.27,2.87,13,439,Sports,2,Email,5,58.28,52.41,0.163,0.083,50.95,36.91,0.3417,0
35.0,Female,South,4,4583.71,1195.83,1.45,33,157,Electronics,2,SMS,5,42.03,41.79,0.035,0.005,43.32,11.93,0.7643,0
37.0,Male,Central,8,30898.66,3821.87,3.89,13,872,Books,3,Push,3,40.83,51.45,0.048,0.012,47.08,35.78,0.2752,0
19.0,Male,Central,5,8526.46,1766.53,4.74,21,1932,Home,3,Call,5,51.77,57.91,0.128,0.04,48.35,24.11,0.0776,0
27.0,Female,South,3,5626.72,1918.39,2.2,17,798,Fashion,3,Push,10,60.58,65.28,0.295,0.064,51.73,20.5,0.1128,0
53.0,Female,Central,2,4964.64,2499.46,3.82,18,571,Sports,2,Email,8,62.41,67.81,0.218,0.04,49.22,24.24,0.1051,0
38.0,Male,East,7,15029.13,2127.32,1.77,11,540,Grocery,3,Call,13,80.52,76.97,0.276,0.1,57.96,24.74,0.3889,0
55.0,Female,East,0,0.0,0.0,0.0,648,648,,0,Call,2,53.03,64.83,0.086,0.014,28.14,34.6,0.0,0
51.0,Male,South,2,4316.91,2053.83,1.77,10,59,Home,2,Email,13,67.32,66.18,0.384,0.092,53.29,25.34,1.0169,0
62.0,Male,South,5,9383.54,2079.08,2.74,79,749,Beauty,2,SMS,1,28.48,27.78,0.043,0.009,38.95,25.84,0.2003,0
28.0,Male,South,2,2470.01,1255.83,2.98,32,873,Fashion,2,WhatsApp,8,57.41,55.44,0.201,0.023,48.68,15.99,0.0687,0
47.0,Male,South,2,4285.21,2037.47,2.97,6,692,Fashion,2,SMS,5,63.96,48.26,0.217,0.094,48.95,28.18,0.0867,0
45.0,Female,Central,3,2601.85,869.69,2.67,7,174,Electronics,3,Push,35,88.46,87.92,0.403,0.111,59.52,11.25,0.5172,0
31.0,Female,North,2,3080.4,1615.22,3.42,33,720,Grocery,2,Email,6,34.09,35.91,0.061,0.009,40.86,21.27,0.0833,0
,Male,Central,15,119831.76,8412.27,2.03,18,114,Books,2,Push,2,17.53,37.2,0.022,0.011,47.83,44.97,3.9474,0
37.0,Female,North,2,1105.92,619.71,2.2,27,1517,Sports,2,SMS,1,29.11,20.46,0.026,0.002,40.35,3.09,0.0396,0
35.0,Male,West,0,0.0,0.0,0.0,363,363,,0,Email,0,39.83,48.17,0.072,0.01,31.35,22.32,0.0,0
58.0,Other,East,4,14820.25,3593.2,3.47,14,612,Home,2,WhatsApp,8,58.93,48.73,0.243,0.065,50.73,23.58,0.1961,0
34.0,Male,South,0,0.0,0.0,0.0,283,283,,0,Push,0,20.7,35.34,0.034,0.005,29.57,17.73,0.0,0
61.0,Female,Central,4,4595.82,1347.99,1.31,9,448,Fashion,2,SMS,5,58.78,51.91,0.167,0.029,50.38,18.23,0.2679,0
43.0,Male,North,1,1625.18,1702.57,3.81,15,162,Fashion,1,Call,12,41.2,58.28,0.216,0.024,45.66,21.01,0.1852,0
54.0,Male,South,3,5762.11,1787.51,3.39,15,437,Beauty,2,Call,8,70.49,63.57,0.343,0.085,53.33,17.83,0.2059,0
47.0,Male,Central,3,4640.53,1606.51,4.41,6,392,Beauty,2,SMS,7,61.17,63.21,0.337,0.048,51.64,22.49,0.2296,0
27.0,Male,East,2,3430.04,1676.92,1.39,8,473,Home,2,WhatsApp,7,74.75,56.72,0.407,0.12,52.21,15.42,0.1268,0
50.0,Male,West,12,60617.36,5242.33,3.76,34,229,Grocery,3,Push,10,63.84,68.81,0.21,0.062,56.84,38.91,1.5721,0
38.0,Female,South,3,4937.3,1655.04,2.25,20,1077,Grocery,3,Email,8,65.76,69.38,0.441,0.082,54.67,17.79,0.0836,0
44.0,Other,South,2,7534.69,3709.51,1.0,101,73,Fashion,1,WhatsApp,0,13.04,27.05,0.043,0.008,34.52,25.99,0.8219,0
33.0,Male,East,1,1142.34,1214.41,3.92,27,1108,Grocery,1,WhatsApp,3,10.36,17.23,0.012,0.002,35.78,13.62,0.0271,0
21.0,Male,East,3,9711.54,3481.51,1.0,24,179,Fashion,2,WhatsApp,4,50.67,52.68,0.137,0.018,46.53,29.28,0.5028,0
39.0,Male,West,3,5468.71,1802.61,3.75,12,896,Beauty,2,SMS,5,51.96,52.65,0.166,0.045,47.62,27.35,0.1004,0
55.0,Female,South,4,10096.9,2440.09,3.17,47,316,Toys,2,Email,4,32.52,37.06,0.031,0.006,39.8,24.73,0.3797,0
18.0,Male,East,5,6464.61,1320.81,7.49,12,415,Sports,3,Email,9,64.42,49.26,0.375,0.038,52.59,10.93,0.3614,0
54.0,Female,West,2,1018.29,534.91,1.81,65,542,Electronics,2,SMS,1,24.52,20.55,0.022,0.004,36.31,12.87,0.1107,0
27.0,Female,West,14,38162.11,2848.58,1.75,29,2038,Home,3,Email,6,46.06,56.86,0.109,0.02,52.87,36.01,0.2061,0
22.0,Female,West,1,1791.49,1721.47,6.13,44,392,Books,1,SMS,8,48.98,39.7,0.135,0.012,44.54,12.82,0.0765,0
56.0,Male,East,5,29500.61,6184.03,1.49,21,88,Grocery,3,Push,6,66.48,72.9,0.307,0.106,52.45,27.94,1.7045,0
33.0,Female,North,4,4701.6,1114.42,1.32,14,27,Fashion,2,Email,5,45.0,40.67,0.141,0.026,43.99,11.48,4.4444,0
53.0,Female,South,7,17022.7,2437.61,2.25,11,222,Sports,3,WhatsApp,10,79.91,75.7,0.397,0.085,58.17,30.31,0.9459,0
35.0,Male,Central,4,4942.08,1293.3,2.21,3,624,Grocery,2,Push,23,79.48,69.96,0.251,0.07,58.26,13.69,0.1923,0
63.0,Female,West,7,13050.28,1791.76,1.45,3,676,Sports,2,Email,22,86.02,88.2,0.189,0.063,59.93,11.82,0.3107,0
30.0,Female,South,6,10946.55,1726.23,2.09,8,405,Fashion,3,Email,30,78.32,75.82,0.216,0.038,60.13,13.81,0.4444,0
46.0,Male,South,4,9241.89,2043.44,2.95,4,850,Books,3,WhatsApp,19,79.54,74.6,0.426,0.069,55.26,15.15,0.1412,0
29.0,Male,North,4,7777.43,1964.9,3.74,6,182,Books,2,Email,4,68.84,63.32,0.181,0.032,52.37,24.45,0.6593,0
49.0,Female,South,2,4475.19,2140.01,1.09,73,650,Grocery,2,WhatsApp,3,38.61,36.99,0.084,0.014,39.34,20.96,0.0923,0
53.0,Male,East,1,952.2,956.93,1.0,47,439,Grocery,1,WhatsApp,3,28.53,36.64,0.075,0.014,40.48,10.08,0.0683,0
42.0,Male,Central,7,7864.72,1075.8,2.66,6,1346,Home,3,WhatsApp,20,67.44,52.14,0.356,0.098,56.78,20.19,0.156,0
52.0,,East,0,0.0,0.0,0.0,732,732,,0,Email,1,15.0,12.92,0.014,0.001,16.04,9.67,0.0,0
36.0,Male,South,5,10878.36,2321.83,4.42,5,619,Sports,3,SMS,10,77.52,76.04,0.407,0.16,57.37,26.87,0.2423,0
43.0,Male,Central,6,4098.46,643.87,4.3,24,1092,Fashion,2,Email,4,35.48,44.09,0.125,0.044,44.54,28.07,0.1648,0
42.0,Male,South,2,2561.63,1286.64,4.72,42,172,Electronics,2,Call,1,28.28,36.59,0.121,0.017,41.57,19.91,0.3488,0
